,page,count
770,Bundesautobahn 661,14.0
771,Autobahn,13.0
772,Controlled-access highway,12.0
773,Ethel Jewett,-1.0
774,"Portland, Oregon",-2.0
775,Luossavaara,22.0
776,Kiruna,21.0
777,Stad (Sweden),20.0
778,Swedish language,19.0
779,North Germanic languages,18.0
780,George Galloway (cricketer),17.0
781,Cricket,16.0
782,Vallée de Mai,13.0
783,UNESCO,12.0
784,List of specialized agencies of the United Nations,11.0
785,United Nations,10.0
786,Intergovernmental organization,9.0
787,3B Junior,6.0
788,Japanese idol,5.0
789,Kawaii,4.0
790,Cuteness,3.0
791,Physical attractiveness,2.0
792,Aesthetics,1.0
793,1969 in Turkey,-1.0
794,MHEG-5,16.0
795,International Organization for Standardization,15.0
796,International standard,14.0
797,Standards organization,13.0
798,Technical standard,12.0
799,Norm (social),11.0
800,Cristian Galano,16.0
801,1985 Air Force Falcons football team,13.0
802,United States Air Force Academy,12.0
803,Military academy,11.0
804,Marines,10.0
805,Infantry,9.0
806,War,8.0
807,Society,7.0
808,Social group,6.0
809,Yadikparou,10.0
810,Banikoara,9.0
811,Indians in Kenya,8.0
812,Kenya,7.0
813,Ludovico Technique LLC,17.0
814,Comic book,16.0
815,Comics,15.0
816,Shinbashi,11.0
817,"Minato, Tokyo",10.0
818,Special wards of Tokyo,9.0
819,Municipalities of Japan,8.0
820,"Murphy Lake (Gowan, St. Louis County, Minnesota)",9.0
821,Eremitis,7.0
822,Genus,6.0
823,Elizabeth Etienne,13.0
824,Brooks Institute,12.0
825,Art school,11.0
826,Visual arts,10.0
827,Maranthes,10.0
828,Natalya Andrejchenko,11.0
829,Meritorious Artist,10.0
830,Title,9.0
831,Prefix,8.0
832,Affix,7.0
833,Morpheme,6.0
834,"Kenmore (Fredericksburg, Virginia)",13.0
835,Plantation complexes in the Southern United States,12.0
836,Plantations in the American South,11.0
837,Plantation,10.0
838,Cotton,9.0
839,Fiber,8.0
840,Column of Arcadius,22.0
841,Victory column,21.0
842,Monument,20.0
843,"Plainsboro Township, New Jersey",8.0
844,Township (New Jersey),7.0
845,Local government in New Jersey,6.0
846,U.S. state,5.0
847,Jean-Yves Blondeau,13.0
848,French people,12.0
849,Alexei Borisov,-1.0
850,F.R.U.I.T.S.,-2.0
851,1981 UCLA Bruins football team,18.0
852,Battle Hill Farm Forest Park,8.0
853,Wellington Region,7.0
854,Timia carbonaria,12.0
855,Ulidiidae,11.0
856,Herbivore,10.0
857,Animal,9.0
858,Edward Bartley (cricketer),17.0
859,Commander,16.0
860,Nigel Paul (cricketer),17.0
861,English people,16.0
862,Sun Mengxin,16.0
863,Dragonlance: Dragons of Autumn Twilight,10.0
864,Animation,9.0
865,Illusion,8.0
866,Sense,7.0
867,Physiology,6.0
868,Mechanism (biology),5.0
869,"Tumul, Khangalassky District, Sakha Republic",8.0
870,Types of inhabited localities in Russia,7.0
871,"Bellfountain, Indiana",12.0
872,Siccia pustulata,9.0
873,Diameter (protocol),-1.0
874,Diameter protocol,-2.0
875,Communications protocol,-3.0
876,Teresa Southwick,14.0
877,Historical romance,13.0
878,Fiction,12.0
879,I Love Chile News,16.0
880,Maidhc Ó Flaithearta,16.0
881,Irish National Land League,15.0
882,Tenant farmer,14.0
883,Landlord,13.0
884,House,12.0
885,Building,11.0
886,Structure,10.0
887,Ngangla Gewog,11.0
888,Gewogs of Bhutan,10.0
889,List of villages in Bhutan,9.0
890,Chiwogs of Bhutan,8.0
891,Bhutan,7.0
892,National Advisory Committee on Institutional Quality and Integrity,13.0
893,United States Secretary of Education,12.0
894,United States Department of Education,11.0
895,Cabinet of the United States,10.0
896,"Rezaabad, Semnan",15.0
897,Kharturan Rural District,14.0
898,Mystacernis alphesta,9.0
899,Chitrakar,12.0
900,Newar people,11.0
901,Kathmandu Valley,10.0
902,Nepal,9.0
903,Landlocked country,8.0
904,Miguel Torga,9.0
905,Portugal,8.0
906,1970 Japanese Regional Leagues,17.0
907,Japanese Regional Leagues,16.0
908,Polvo Chicago,13.0
909,"Lower West Side, Chicago",12.0
910,Community areas in Chicago,11.0
911,University of Chicago,10.0
912,Private university,9.0
913,Tax break,8.0
914,Tax avoidance,7.0
915,Tax,6.0
916,Asperdaphne perplexa,8.0
917,Mac & Cheese 3,-1.0
918,Mixtape,-2.0
919,Compact Cassette,-3.0
920,Analog recording,-4.0
921,Record,-5.0
922,Franciscus Irenicus,11.0
923,Ettlingen,10.0
924,Baden-Württemberg,9.0
925,States of Germany,8.0
926,"Paul Laurence Dunbar High School (Fort Worth, Texas)",10.0
927,"Stop Six, Fort Worth, Texas",9.0
928,"Fort Worth, Texas",8.0
929,Foochow Romanized,17.0
930,Latin script,16.0
931,Latin alphabet,15.0
932,Writing system,14.0
933,Uterine horns,13.0
934,Uterus,12.0
935,Sex organ,11.0
936,Sexual reproduction,10.0
937,Reproduction,9.0
938,Biological process,8.0
939,Heather Forster Smith,16.0
940,Ontario Superior Court of Justice,15.0
941,Superior court,14.0
942,Common law,13.0
943,Case law,12.0
944,Precedent,11.0
945,List of national legal systems,10.0
946,2016 NHL Entry Draft,18.0
947,NHL Entry Draft,17.0
948,National Hockey League,16.0
949,Pakistan at the 2016 South Asian Games,8.0
950,Pakistan,7.0
951,Arthrobacter alkaliphilus,10.0
952,Gram-positive bacteria,9.0
953,Bacteria,8.0
954,Domain (biology),7.0
955,"Piekary, Oława County",8.0
956,1829 in music,14.0
957,1829,13.0
958,Common year,12.0
959,Calendar year,11.0
960,New Year's Day,10.0
961,January 1,9.0
962,Gregorian calendar,8.0
963,Civil calendar,7.0
964,Calendar,6.0
965,Time,5.0
966,Sequence,4.0
967,Joe Williams (fullback),18.0
968,Canadian football,17.0
969,Pforzen buckle,11.0
970,Pforzen,10.0
971,Marketing agreements,10.0
972,Agricultural Marketing Agreement Act of 1937,9.0
973,Science and technology in Algeria,8.0
974,Algeria,7.0
975,Ascou,13.0
976,Mojahed Abdullah,8.0
977,Qatar,7.0
978,Ola Jonsson,14.0
979,Tennis,13.0
980,List of racket sports,12.0
981,Game,11.0
982,Play (activity),10.0
983,.mu,8.0
984,Internet,7.0
985,"Solomon, ex-Lambert Stradivarius",12.0
986,Violin,11.0
987,String instrument,10.0
988,String (music),9.0
989,String vibration,8.0
990,Vibration,7.0
991,Oscillation,6.0
992,Stan Tatkin,6.0
993,Neuroscience,5.0
994,Double heterostructure,11.0
995,Semiconductor,10.0
996,Crystal,9.0
997,Solid,8.0
998,State of matter,7.0
999,Makkah Chamber of Commerce and Industry,16.0
1000,Makkah Region,15.0
1001,Regions of Saudi Arabia,14.0
1002,Saudi Arabia,13.0
1003,Zimbabweans in Botswana,8.0
1004,Zimbabwe,7.0
1005,Schoberer Rad Meßtechnik,9.0
1006,Strain gauge,8.0
1007,Deformation (mechanics),7.0
1008,Continuum mechanics,6.0
